B6_1,57.855466,1.213482,0.674091
B6_2,57.967719,1.164372,1.050815
B6_3,58.285133,1.875244,1.052451
B6_4,58.172879,1.924354,0.675727
D6_1,58.810428,2.555850,0.681996
D6_2,58.878736,2.454100,1.057951
D6_3,59.534155,2.875716,1.058052
D6_4,59.465847,2.977466,0.682097
F4_1,60.277403,3.312002,-0.188698
F4_2,60.278515,3.311844,0.202842
F4_3,61.053021,3.371437,0.204600
F4_4,61.052188,3.370665,-0.186525
F5_1,60.276712,3.306714,0.249271
F5_2,60.283922,3.245203,0.639954
F5_3,61.059267,3.305252,0.638932
F5_4,61.052227,3.366152,0.247982
I4_1,62.603586,2.764479,-0.207008
I4_2,62.607118,2.764153,0.188512
I4_3,63.279216,2.370184,0.182681
I4_4,63.275821,2.370369,-0.213787
J4_1,63.285182,2.348050,-0.211768
J4_2,63.280675,2.343069,0.183108
J4_3,63.843166,1.806989,0.185768
J4_4,63.847437,1.810977,-0.209587
K4_1,63.863537,1.810435,-0.210987
K4_2,63.864805,1.808857,0.182668
K4_3,64.317117,1.175031,0.179468
K4_4,64.316123,1.176763,-0.214073
